VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,01/01/2019 12:37:59 AM,01/01/2019 12:44:44 AM,1,1.4,1,N,143,238,1,7.0,0.5,0.5,1.65,0.0,0.3,9.95,
1,01/01/2019 12:48:53 AM,01/01/2019 12:54:44 AM,1,0.5,1,N,239,239,1,5.5,0.5,0.5,1.35,0.0,0.3,8.15,
1,01/01/2019 12:00:19 AM,01/01/2019 12:09:54 AM,1,1.8,1,N,249,4,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,
1,01/01/2019 12:10:52 AM,01/01/2019 12:51:27 AM,1,3.8,1,N,4,246,2,25.0,0.5,0.5,0.0,0.0,0.3,26.3,
1,01/01/2019 12:53:09 AM,01/01/2019 01:21:04 AM,1,4.3,1,N,68,4,2,19.5,0.5,0.5,0.0,0.0,0.3,20.8,
1,01/01/2019 12:50:22 AM,01/01/2019 01:08:19 AM,2,3.3,1,N,164,262,1,14.5,0.5,0.5,3.15,0.0,0.3,18.95,
1,01/01/2019 12:06:29 AM,01/01/2019 12:22:20 AM,1,3.1,1,N,90,148,2,13.0,0.5,0.5,0.0,0.0,0.3,14.3,
1,01/01/2019 12:29:11 AM,01/01/2019 12:32:02 AM,1,0.6,1,N,148,232,1,4.0,0.5,0.5,1.06,0.0,0.3,6.36,
1,01/01/2019 12:33:07 AM,01/01/2019 12:41:59 AM,1,1.5,1,N,232,79,1,8.0,0.5,0.5,1.99,0.0,0.3,11.29,
1,01/01/2019 12:43:08 AM,01/01/2019 01:01:05 AM,1,3.6,1,N,79,141,1,14.5,0.5,0.5,3.15,0.0,0.3,18.95,
2,01/01/2019 12:02:06 AM,01/01/2019 12:10:19 AM,2,2.57,1,N,45,97,1,9.5,0.5,0.5,2.16,0.0,0.3,12.96,
2,01/01/2019 12:24:57 AM,01/01/2019 12:35:42 AM,2,2.44,1,N,144,256,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8,
2,01/01/2019 12:46:09 AM,01/01/2019 01:06:46 AM,1,4.18,1,N,79,263,1,16.0,0.5,0.5,3.46,0.0,0.3,20.76,
1,01/01/2019 12:16:07 AM,01/01/2019 12:19:41 AM,1,1.0,1,N,140,233,1,5.0,0.5,0.5,1.0,0.0,0.3,7.3,
1,01/01/2019 12:23:47 AM,01/01/2019 12:39:41 AM,1,3.9,1,N,229,238,1,14.5,0.5,0.5,4.7,0.0,0.3,20.5,
1,01/01/2019 12:43:00 AM,01/01/2019 12:52:16 AM,1,1.6,1,N,238,236,1,8.5,0.5,0.5,2.9,0.0,0.3,12.7,
1,01/01/2019 12:56:17 AM,01/01/2019 01:10:19 AM,1,3.1,1,N,263,137,2,12.0,0.5,0.5,0.0,0.0,0.3,13.3,
1,01/01/2019 12:33:30 AM,01/01/2019 12:40:44 AM,2,0.6,1,N,113,264,1,6.0,0.5,0.5,1.45,0.0,0.3,8.75,
1,01/01/2019 12:50:41 AM,01/01/2019 01:00:04 AM,2,1.3,1,N,264,264,1,7.5,0.5,0.5,1.58,0.0,0.3,10.38,
1,01/01/2019 12:14:27 AM,01/01/2019 12:16:47 AM,2,0.5,1,N,141,263,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,
1,01/01/2019 12:18:09 AM,01/01/2019 12:30:10 AM,2,3.3,1,N,263,107,1,11.5,0.5,0.5,2.55,0.0,0.3,15.35,
1,01/01/2019 12:35:57 AM,01/01/2019 12:58:35 AM,1,4.1,1,N,79,263,2,17.0,0.5,0.5,0.0,0.0,0.3,18.3,
2,01/01/2019 12:11:39 AM,01/01/2019 12:16:39 AM,3,0.69,1,N,140,229,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,
2,01/01/2019 12:19:13 AM,01/01/2019 12:27:33 AM,3,1.92,1,N,229,236,1,8.5,0.5,0.5,1.96,0.0,0.3,11.76,
2,01/01/2019 12:30:26 AM,01/01/2019 12:42:15 AM,3,2.43,1,N,43,151,1,11.0,0.5,0.5,2.46,0.0,0.3,14.76,
2,01/01/2019 12:44:29 AM,01/01/2019 12:51:23 AM,3,0.83,1,N,151,238,1,6.5,0.5,0.5,0.78,0.0,0.3,8.58,
2,01/01/2019 12:54:53 AM,01/01/2019 01:11:28 AM,3,2.66,1,N,238,161,1,13.0,0.5,0.5,2.5,0.0,0.3,16.8,
2,12/31/2018 05:22:55 PM,01/01/2019 04:57:23 PM,1,22.59,1,N,132,181,1,60.0,0.5,0.5,7.0,0.0,0.3,68.3,
1,01/01/2019 12:32:20 AM,01/01/2019 12:43:43 AM,1,0.2,1,Y,186,186,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,
1,01/01/2019 12:19:19 AM,01/01/2019 12:28:55 AM,1,1.2,1,N,68,79,1,7.5,0.5,0.5,1.0,0.0,0.3,9.8,
1,01/01/2019 12:39:18 AM,01/01/2019 01:14:25 AM,1,5.0,1,N,79,143,1,22.5,0.5,0.5,4.75,0.0,0.3,28.55,
2,01/01/2019 12:23:47 AM,01/01/2019 12:31:13 AM,1,1.68,1,N,236,238,1,8.0,0.5,0.5,1.86,0.0,0.3,11.16,
2,01/01/2019 12:33:45 AM,01/01/2019 12:37:11 AM,1,0.65,1,N,238,239,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,
2,01/01/2019 12:40:53 AM,01/01/2019 01:03:47 AM,1,5.15,1,N,239,145,1,19.0,0.5,0.5,5.08,0.0,0.3,25.38,
1,01/01/2019 12:19:39 AM,01/01/2019 12:40:41 AM,2,0.6,1,N,161,170,1,13.0,0.5,0.5,25.0,0.0,0.3,39.3,
1,01/01/2019 12:37:48 AM,01/01/2019 12:54:33 AM,2,1.3,1,N,249,107,1,11.5,0.5,0.5,3.8,0.0,0.3,16.6,
1,01/01/2019 12:56:10 AM,01/01/2019 01:08:57 AM,2,1.7,1,N,107,229,1,9.5,0.5,0.5,1.0,0.0,0.3,11.8,
2,01/01/2019 12:38:26 AM,01/01/2019 01:01:28 AM,1,6.91,1,N,170,42,2,21.5,0.5,0.5,0.0,0.0,0.3,22.8,
2,01/01/2019 12:22:06 AM,01/01/2019 12:40:51 AM,5,5.08,1,N,158,238,1,18.0,0.5,0.5,4.82,0.0,0.3,24.12,
2,01/01/2019 12:44:26 AM,01/01/2019 12:57:21 AM,5,2.11,1,N,239,236,1,11.0,0.5,0.5,1.7,0.0,0.3,14.0,
1,01/01/2019 12:14:33 AM,01/01/2019 12:42:21 AM,2,5.3,1,N,50,148,1,21.5,0.5,0.5,4.55,0.0,0.3,27.35,
1,01/01/2019 12:46:52 AM,01/01/2019 12:57:48 AM,3,1.7,1,N,148,107,1,9.0,0.5,0.5,2.05,0.0,0.3,12.35,
1,01/01/2019 12:58:29 AM,01/01/2019 01:20:06 AM,3,3.6,1,N,107,262,1,15.5,0.5,0.5,3.35,0.0,0.3,20.15,
2,01/01/2019 12:12:43 AM,01/01/2019 12:33:19 AM,1,3.13,1,N,161,239,2,14.5,0.5,0.5,0.0,0.0,0.3,15.8,
2,01/01/2019 12:35:11 AM,01/01/2019 12:43:27 AM,1,1.07,1,N,239,48,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,
2,01/01/2019 12:48:00 AM,01/01/2019 12:56:03 AM,1,0.77,1,N,143,48,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,
2,01/01/2019 12:42:41 AM,01/01/2019 12:55:14 AM,1,2.12,1,N,237,263,1,10.0,0.5,0.5,2.26,0.0,0.3,13.56,
2,01/01/2019 12:39:58 AM,01/01/2019 01:42:57 AM,2,20.01,2,N,132,50,2,52.0,0.0,0.5,0.0,5.76,0.3,58.56,
1,01/01/2019 12:23:30 AM,01/01/2019 12:32:59 AM,2,1.4,1,N,238,236,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,
1,01/01/2019 12:36:58 AM,01/01/2019 12:45:51 AM,3,0.7,1,N,236,262,1,7.0,0.5,0.5,2.45,0.0,0.3,10.75,
1,01/01/2019 12:22:30 AM,01/01/2019 12:40:50 AM,2,2.8,1,N,249,162,2,13.5,0.5,0.5,0.0,0.0,0.3,14.8,
1,01/01/2019 12:47:00 AM,01/01/2019 12:52:18 AM,1,1.0,1,N,236,140,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,
1,01/01/2019 12:55:39 AM,01/01/2019 01:03:06 AM,4,1.9,1,N,140,162,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,
2,01/01/2019 12:28:37 AM,01/01/2019 12:31:37 AM,1,0.76,1,N,142,239,1,4.5,0.5,0.5,2.0,0.0,0.3,7.8,
2,01/01/2019 12:33:19 AM,01/01/2019 12:46:44 AM,1,3.6,1,N,239,68,1,13.5,0.5,0.5,2.0,0.0,0.3,16.8,
2,01/01/2019 12:59:05 AM,01/01/2019 01:19:25 AM,2,3.8,1,N,246,43,2,16.5,0.5,0.5,0.0,0.0,0.3,17.8,
2,01/01/2019 12:11:27 AM,01/01/2019 12:46:29 AM,5,21.42,2,N,132,87,1,52.0,0.0,0.5,11.71,5.76,0.3,70.27,
2,01/01/2019 12:19:27 AM,01/01/2019 01:03:21 AM,1,10.84,1,N,114,198,2,37.5,0.5,0.5,0.0,0.0,0.3,38.8,
